,name,class,subclass
0,小麦粉(标准粉),：谷类及制品,：小麦
1,小麦粉(富强粉，特一粉),：谷类及制品,：小麦
2,挂面(均值),：谷类及制品,：小麦
3,挂面(标准粉),：谷类及制品,：小麦
4,挂面(富强粉),：谷类及制品,：小麦
5,面条(均值),：谷类及制品,：小麦
6,面条(标准粉，切面),：谷类及制品,：小麦
7,面条(富强粉，切面),：谷类及制品,：小麦
8,面条(干切面),：谷类及制品,：小麦
9,通心面[通心粉],：谷类及制品,：小麦
10,花卷,：谷类及制品,：小麦
11,空锅饼,：谷类及制品,：小麦
12,烙饼(标准粉),：谷类及制品,：小麦
13,馒头(均值),：谷类及制品,：小麦
14,馒头(标准粉),：谷类及制品,：小麦
15,馒头(富强粉),：谷类及制品,：小麦
16,烧饼(加糖),：谷类及制品,：小麦
17,油饼,：谷类及制品,：小麦
18,油条,：谷类及制品,：小麦
19,水面筋,：谷类及制品,：小麦
20,油面筋,：谷类及制品,：小麦
21,稻米(均值),：谷类及制品,：稻米
22,粳米(标一),：谷类及制品,：稻米
23,籼米(标准)[机米],：谷类及制品,：稻米
24,香大米,：谷类及制品,：稻米
25,籼米,：谷类及制品,：稻米
26,糯米[江米](均值),：谷类及制品,：稻米
27,紫红糯米[血糯米],：谷类及制品,：稻米
28,米饭(蒸)(均值),：谷类及制品,：稻米
29,粳米粥,：谷类及制品,：稻米
30,籼米粉[排米粉],：谷类及制品,：稻米
31,籼米粉(干，细),：谷类及制品,：稻米
32,籼米粥,：谷类及制品,：稻米
33,玉米(鲜),：谷类及制品,：玉米
34,玉米(白，干),：谷类及制品,：玉米
35,玉米(黄，干),：谷类及制品,：玉米
36,玉米面(白),：谷类及制品,：玉米
37,玉米面(黄),：谷类及制品,：玉米
38,玉米糁(黄),：谷类及制品,：玉米
39,玉米笋(罐头),：谷类及制品,：玉米
40,大麦[元麦],：谷类及制品,：大麦
41,青稞,：谷类及制品,：大麦
42,小米,：谷类及制品,：小米、黄米
43,小米面,：谷类及制品,：小米、黄米
44,小米粥,：谷类及制品,：小米、黄米
45,大黄米[黍子],：谷类及制品,：小米、黄米
46,黄米,：谷类及制品,：小米、黄米
47,高粱米,：谷类及制品,：其它
48,糜子(带皮),：谷类及制品,：其它
49,苦荞麦粉,：谷类及制品,：其它
50,荞麦,：谷类及制品,：其它
51,莜麦面,：谷类及制品,：其它
52,薏米[薏仁米，苡米],：谷类及制品,：其它
53,薏米面,：谷类及制品,：其它
54,马铃薯[土豆，洋芋],：薯类、淀粉及制品,：薯类
55,马铃薯粉,：薯类、淀粉及制品,：薯类
56,甘薯(白心)[红皮山芋],：薯类、淀粉及制品,：薯类
57,甘薯(红心)[山芋，红薯],：薯类、淀粉及制品,：薯类
58,甘薯片[白薯干],：薯类、淀粉及制品,：薯类
59,甘薯粉[地瓜粉],：薯类、淀粉及制品,：薯类
60,木薯,：薯类、淀粉及制品,：薯类
61,玉米淀粉,：薯类、淀粉及制品,：淀粉类
62,团粉[芡粉],：薯类、淀粉及制品,：淀粉类
63,藕粉,：薯类、淀粉及制品,：淀粉类
64,魔芋精粉[鬼芋粉，南星粉],：薯类、淀粉及制品,：淀粉类
65,粉丝,：薯类、淀粉及制品,：淀粉类
66,粉条,：薯类、淀粉及制品,：淀粉类
67,黄豆[大豆],：干豆类及制品,：大豆
68,黑豆[黑大豆](干),：干豆类及制品,：大豆
