,name,informal_name,class,energy,carbohydrates,fat,protein,cellulose
0,猪血,液体肉、血豆腐、血花,蛋类、肉类及制品,55.00,0.90,0.30,12.20,0.00
1,猪皮,None,蛋类、肉类及制品,363.00,0.00,28.10,27.40,0.00
2,火腿,兰熏、熏蹄、南腿,蛋类、肉类及制品,330.00,4.90,27.40,16.00,一
3,猪心,None,蛋类、肉类及制品,119.00,1.10,5.30,16.60,0.00
4,猪脑,猪脑髓,蛋类、肉类及制品,131.00,0.00,9.80,10.80,0.00
5,牛肚,百叶、肚尖、牛胃,蛋类、肉类及制品,72.00,0.00,1.60,14.50,0.00
6,鸽子,None,蛋类、肉类及制品,201.00,1.70,14.20,16.50,一
7,牛肉,牛腩,蛋类、肉类及制品,123.00,0.00,5.40,18.60,一
8,兔肉,兔子、兔子肉,蛋类、肉类及制品,102.00,0.90,2.20,19.70,0.00
9,羊肉,山羊肉、绵羊肉、羊腰窝肉、羊腩,蛋类、肉类及制品,203.00,0.00,14.10,19.00,一
10,鸭肠,鸭,蛋类、肉类及制品,129.00,0.40,7.80,14.20,0.00
11,瘦猪肉,豕肉、彘肉,蛋类、肉类及制品,395.00,2.40,37.00,13.20,0.00
12,鸡心,None,蛋类、肉类及制品,172.00,0.60,11.80,15.90,0.00
13,猪肚,猪胃、猪堵,蛋类、肉类及制品,110.00,0.70,5.10,15.20,0.00
14,猪腰子,猪腰，猪腰子、猪腰子,蛋类、肉类及制品,137.00,0.00,8.10,16.00,0.00
15,猪肉,豕肉、彘肉,蛋类、肉类及制品,395.00,2.40,37.00,13.20,0.00
16,鸡胸肉,鸡柳肉、鸡里脊肉、鸡胸、鸡胸肉,蛋类、肉类及制品,118.00,0.60,1.90,24.60,0.00
17,鸭肫,鸭胗,蛋类、肉类及制品,92.00,2.10,1.30,17.90,0.00
18,鹿肉,None,蛋类、肉类及制品,92.00,0.30,1.30,19.70,0.00
19,鸡肫,None,私家菜 ,204.36,6.47,13.31,14.03,1.16
20,鸭肉,鸭子、鹜肉、家凫肉,蛋类、肉类及制品,240.00,0.20,19.70,15.50,一
21,猪肝,None,蛋类、肉类及制品,126.00,1.80,4.70,19.20,0.00
22,牛肝,None,蛋类、肉类及制品,139.00,6.20,3.90,19.80,0.00
23,马肉,None,蛋类、肉类及制品,170.00,1.20,4.80,30.50,一
24,猪大肠,None,蛋类、肉类及制品,196.00,0.00,18.70,6.90,一
25,猪小肠,None,蛋类、肉类及制品,65.00,1.70,2.00,10.00,0.00
26,猪脾,联贴、草鞋底,蛋类、肉类及制品,94.00,3.10,3.20,13.20,0.00
27,鸡肝,None,蛋类、肉类及制品,121.00,2.80,4.80,16.60,0.00
28,鸭肝,None,蛋类、肉类及制品,128.00,0.50,7.50,14.50,0.00
29,熏羊脾,None,None,None,None,None,None,None
30,小牛颈肉,None,私家菜 ,117.87,6.69,5.24,11.49,0.53
31,冬瓜,白瓜、水芝、地芝、枕瓜、濮瓜、白冬瓜、东瓜、冬瓜、鲜冬瓜片,蔬果和菌藻,10.00,2.40,0.20,0.30,0.00
32,南瓜,麦瓜、番瓜、倭瓜、金瓜、伏瓜、饭瓜、窝瓜、中国南瓜、倭瓜，番瓜,蔬果和菌藻,23.00,5.30,0.10,0.70,0.80
33,洋葱,洋葱头、玉葱、葱头、圆葱、球葱、洋葱、葱头,蔬果和菌藻,40.00,9.00,0.20,1.10,0.90
34,番茄,西红柿、洋柿子、狼桃、番李子、金橘、番柿、六月柿、洋海椒、毛腊果、西红柿,蔬果和菌藻,15.00,3.30,0.20,0.90,1.00
35,姜,生姜、黄姜、均姜、黄姜,蔬果和菌藻,46.00,10.30,0.60,1.30,2.70
36,葫芦,搅瓜、白南瓜,蔬果和菌藻,19.00,3.80,0.20,0.80,0.60
37,萝卜,萝卜、莱菔、莱菔,蔬果和菌藻,16.00,4.00,0.10,0.70,1.10
