,name,informal_name,class,energy,carbohydrates,fat,protein,cellulose
0,猪血,液体肉、血豆腐、血花,蛋类、肉类及制品,55,0.9,0.3,12.2,0
1,猪皮,None,蛋类、肉类及制品,363,0,28.1,27.4,0
2,火腿,兰熏、熏蹄、南腿,蛋类、肉类及制品,330,4.9,27.4,16,一
3,猪心,None,蛋类、肉类及制品,119,1.1,5.3,16.6,0
4,猪脑,猪脑髓,蛋类、肉类及制品,131,0,9.8,10.8,0
5,牛肚,百叶、肚尖、牛胃,蛋类、肉类及制品,72,0,1.6,14.5,0
6,鸽子,None,蛋类、肉类及制品,201,1.7,14.2,16.5,一
7,牛肉,牛腩,蛋类、肉类及制品,123,0,5.4,18.6,一
8,兔肉,兔子、兔子肉,蛋类、肉类及制品,102,0.9,2.2,19.7,0
9,羊肉,山羊肉、绵羊肉、羊腰窝肉、羊腩,蛋类、肉类及制品,203,0,14.1,19,一
10,鸭肠,鸭,蛋类、肉类及制品,129,0.4,7.8,14.2,0
11,瘦猪肉,豕肉、彘肉,蛋类、肉类及制品,395,2.4,37,13.2,0
12,鸡心,None,蛋类、肉类及制品,172,0.6,11.8,15.9,0
13,猪肚,猪胃、猪堵,蛋类、肉类及制品,110,0.7,5.1,15.2,0
14,猪腰子,猪腰，猪腰子、猪腰子,蛋类、肉类及制品,137,0,8.1,16,0
15,猪肉,豕肉、彘肉,蛋类、肉类及制品,395,2.4,37,13.2,0
16,鸡胸肉,鸡柳肉、鸡里脊肉、鸡胸、鸡胸肉,蛋类、肉类及制品,118,0.6,1.9,24.6,0
17,鸭肫,鸭胗,蛋类、肉类及制品,92,2.1,1.3,17.9,0
18,鹿肉,None,蛋类、肉类及制品,92,0.3,1.3,19.7,0
19,鸡肫,None,私家菜 ,204.36,6.47,13.31,14.03,1.16
20,鸭肉,鸭子、鹜肉、家凫肉,蛋类、肉类及制品,240,0.2,19.7,15.5,一
21,猪肝,None,蛋类、肉类及制品,126,1.8,4.7,19.2,0
22,牛肝,None,蛋类、肉类及制品,139,6.2,3.9,19.8,0
23,马肉,None,蛋类、肉类及制品,170,1.2,4.8,30.5,一
24,猪大肠,None,蛋类、肉类及制品,196,0,18.7,6.9,一
25,猪小肠,None,蛋类、肉类及制品,65,1.7,2,10,0
26,猪脾,联贴、草鞋底,蛋类、肉类及制品,94,3.1,3.2,13.2,0
27,鸡肝,None,蛋类、肉类及制品,121,2.8,4.8,16.6,0
